Submodule,Sub-category,Class,Sub-class,Average power --Active mode (W),Average power --Stand-by mode (W)
scientific,Measures / Detections,Lab cameras,,5,5
scientific,Measures / Detections,Spectrometers,,2500,2500
scientific,Optics,Diffractometers,,30,10
scientific,Optics,Lasers,,150,150
scientific,Optics,Light sources,Light sources for microscope,120,120
scientific,Optics,Light sources,Insect UV lights,70,70
scientific,Acoustic,Acoustics,,30,10
scientific,"Electrophysiological & medical ",EEG /ECG / EMG,,30,30
scientific,"Electrophysiological & medical ",Micromanipulator,,120,10
scientific,Machine tools,Coaters,,120,20
scientific,Machine tools,3D printer,,90,10
scientific,Machine tools,Driller,,720,0
scientific,Mecanics,Pumps,Vaccum mechanical pumps (> 500W),820,0
scientific,Mecanics,Pumps,Vaccum diaphragm pumps (< 500W),90,0
scientific,Mecanics,Pumps,Laboratory suction pumps (< 100W),70,0
scientific,Mecanics,Pumps,Peristaltic pumps,30,0
scientific,Mecanics,Robots,,110,50
scientific,Infrastructure,Autoclaves,Bench top autoclaves,570,20
scientific,Infrastructure,Autoclaves,Autoclaves (150 L),2000,350
scientific,Infrastructure,CPG mobile equipment,CPG ventilation motors,110,110
scientific,Infrastructure,CPG mobile equipment,Other CPG mobile equipment,0,0
scientific,Infrastructure,Other infrastructure equipment,Distillation equipment,5600,0
scientific,Infrastructure,Other infrastructure equipment,Washers,4200,50
other,,Lab Freezer / Frigde,Old -80°C freezers (>12yo),1130,1130
other,,Lab Freezer / Frigde,Recent -80°C freezers (<12yo),480,480
other,,Lab Freezer / Frigde,Small +4°C or -20°C freezers (< 150L),30,30
other,,Lab Freezer / Frigde,Big +4°C or -20°C freezers (> 150L),80,80
other,,Lab Freezer / Frigde,"Refrigerated display cabinets (fixed or mobile, 1-2m3)",230,230
other,,Lab Freezer / Frigde,Cold rooms (20m2),620,620
other,,Lab Freezer / Frigde,Ice machines,150,150
it,,Servers,,160,30
it,,Desktop,,90,10
it,,Laptop,,30,10
it,,Monitors,,40,10
it,,Printers,,800,15
it,,Scanners,,20,10
it,,Telecom,,10,5
it,,Beamer,,300,5
it,,Cameras,,5,5
it,,HF Microphones,,10,10
it,,Videoconferencing,,30,5
it,,Hoods,,290,10
it,,Kitchen freezer,,30,30
it,,Other electrotechnical equip.,,50,5
it,,Other IT / telecom  equipment,,50,10
it,,Photo camera,,5,5
it,,Screens,,40,10
it,,Other audiovisual equipment,,60,10
it,,Special furniture,,0,0
it,,CPG fixed equipment,,110,110
it,,Vehicles,,0,0
it,,Tablet,,10,5
it,,Software,,0,0
it,,Network,,10,5
it,,Components,,30,10
